D,L,N30_Ava,Cu_Ava,N30_Base,Cu_Base,UL,Q ,S_exp 
1,43.5,3.317241,105.408046,50,0,1,0,0
0.8,24,8.875,17.708333,0,50,1,675,0.69125
0.8,24,5.032258,20,0,40,1,1012.5,0.870417
1.2,70,18.214286,14.142857,50,0,2,7485.15,19.1613
1,34,6.741176,89.117647,50,0,2,3007.59,6.5523
1,34,6.903614,86.445783,50,0,2,5240.4,8.39142
1,33,20.878788,31.606061,50,0,1,1640.88,1.53695
1,49.5,15.879032,63.165323,0,200,2,4532.66,78.2278
1,15,14.986667,4.841667,40,0,1,1090.59,0.700461
0.8,24,5.032258,20,0,40,1,1350,1.274
1.08,40,5.1375,16.75,0,27.5,1,995.413,1.43089
1,33,20.878788,31.606061,50,0,1,2734.81,4.07882
1,35.5,28.4,36.676056,50,0,2,1510.49,5.54911
0.8,20,28.5,18.75,45,0,1,0,0
0.8,20,28.5,18.75,45,0,2,1505.88,8.50909
0.8,46.9,10.681818,27.97619,50,0,2,2247.09,2.40343
0.8,20,28.5,18.75,45,0,1,1995.29,3.9
1,33,20.878788,31.606061,50,0,2,3841.16,11.7635
0.8,28,40.607143,0,92,0,1,840.686,0.195305
1,35.5,13.321127,80.430986,50,0,2,757.143,3.73094
1,41,15.731707,50.243902,43,0,1,4236.59,3.94118
1,34,6.903614,86.445783,50,0,2,0,4.74531
1.2,57,22.280702,43.026316,50,0,2,9925.56,25.283
1,34,6.903614,86.445783,50,0,1,3738.26,3.51206
1,43,14.813953,37.093023,35,0,1,4682.2,6.50888
1,46.5,12.365591,7.419355,50,0,2,7500,73.2249
1,35.5,13.321127,80.430986,50,0,2,0,2.47534
1.2,43.6,14.862385,41.559633,0,20,1,7247.19,6.5678
0.8,20,28.5,18.75,45,0,1,4000,12.2909
1,42,17.064286,54.380952,50,0,2,0,0.866359
0.8,25,27.24,0,50,0,2,1692.31,3.28676
1,18,27.444444,5.555556,50,0,1,4403.79,6.49761
0.8,25,27.24,0,50,0,1,2125,1.63235
1,34,6.741176,89.117647,50,0,2,4496.2,7.56904
0.8,24,6.258065,23.870968,0,50,1,675,0.4325
1,49.5,15.879032,63.165323,0,200,2,5968.47,79.3673
0.8,24,5.032258,20,0,40,2,675,1.6475
1,32.5,17.573846,37.615385,50,0,1,1641.94,1.18713
1.2,57,10.015789,55.842105,50,0,2,0,84.5
0.8,24,5.032258,20,0,40,1,337.5,0.225417
1.2,38,9.210526,25,50,0,1,0,0
1.2,57,10.015789,55.842105,50,0,2,14986.7,90.5
1,33,20.878788,31.606061,50,0,2,1093.92,8.03941
1,18,27.444444,5.555556,50,0,2,2750.68,6.09569
1.08,16.6,34.036145,7.831325,50,0,1,5464.82,53.0213
1.08,25.5,27.176471,64.705882,50,0,2,877.027,1.25442
1.2,43.6,14.862385,41.559633,0,20,2,10146.1,43.2203
0.8,24,9.975,55.28125,42,0,1,0,0
1,33,20.878788,31.606061,50,0,2,0,6.2069
1,43,14.813953,37.093023,35,0,1,10911,65.4142
0.8,46.9,10.681818,27.97619,50,0,2,0,0.030043
1.08,16.6,34.036145,7.831325,50,0,2,3655.78,106.638
0.8,24,5.032258,20,0,40,2,337.5,1.20875
0.8,28,40.607143,0,92,0,2,0,0.500469
0.8,28,40.607143,0,92,0,1,0,0
1,35.5,28.4,36.676056,50,0,1,1496.5,1.32589
0.8,24,5.741935,23.870968,0,50,1,1012.5,0.8525
0.8,24,6.258065,23.870968,0,50,1,1012.5,0.772083
1.08,25.5,27.176471,64.705882,50,0,1,877.027,0.278761
1,46.5,12.365591,7.419355,50,0,1,1863.06,1.33136
1,35.5,13.321127,80.430986,50,0,1,742.857,0.215247
0.8,25,27.24,0,50,0,1,1259.62,0.904412
1.2,43.6,14.862385,41.559633,0,20,2,0,40.0424
1.08,16.6,34.036145,7.831325,50,0,1,6369.35,72.0851
1,34,6.741176,89.117647,50,0,1,1488.61,0.790795
1.08,16.6,34.036145,7.831325,50,0,1,2713.57,9.53191
1,43.5,3.317241,105.408046,50,0,2,4500.67,63.5655
1.2,70,18.214286,14.142857,50,0,1,7514.85,12.4424
1.08,40,5.1375,16.75,0,27.5,2,495.413,2.91057
1,49.5,15.879032,63.165323,0,200,1,10501.1,58.8608
1,34,13.5,110.544118,45,0,2,1500,5.79439
1.2,57,22.280702,43.026316,50,0,1,5012.41,3.77358
1.08,22,23.295455,74.25,50,0,1,7194.57,11.8957
1,41,15.731707,50.243902,43,0,2,6365.85,10.5294
1.2,70,18.214286,14.142857,50,0,1,4485.15,5.10138
1,38,26.631579,49.539474,50,0,2,1500,4.07071
0.8,24,5.741935,23.870968,0,50,2,675,2.2625
0.8,28,40.607143,0,92,0,1,2968.14,1.90423
1,15,14.986667,4.841667,40,0,1,0,0
0.8,24,8.875,17.708333,0,50,2,0,1.374375
1,41,15.731707,50.243902,43,0,1,0,0
1.2,70,18.214286,14.142857,50,0,2,1514.85,7.83871
1,43.5,3.317241,105.408046,50,0,1,3009.32,4.09471
1,35.5,28.4,36.676056,50,0,2,0,4.22321
1.2,43.6,14.862385,41.559633,0,20,2,5764.04,44.7034
1,18,27.444444,5.555556,50,0,2,3848.24,6.39713
1,34,6.903614,86.445783,50,0,1,5248.93,5.95174
1.2,43.5,3.241379,106.074713,50,0,1,8719.81,11.8143
1.2,43.5,9.195402,51.270115,0,150,1,0,0
0.8,24,6.258065,23.870968,0,50,2,675,2.205
0.8,24,5.483871,20,0,40,2,1350,2.58
1,35.5,13.321127,80.430986,50,0,1,2257.14,1.3991
0.8,24,6.258065,23.870968,0,50,2,337.5,1.785
0.8,28,40.607143,0,92,0,1,2539.22,1.4892
1,34,13.5,110.544118,45,0,1,6000,9.39252
1,33,20.878788,31.606061,50,0,1,534.53,0.35468
0.8,24,5.032258,20,0,40,1,2025,2.4625
1,15,14.986667,4.841667,40,0,1,1641.18,1.21659
1,35.5,28.4,36.676056,50,0,2,3734.27,7.80804
0.8,46.9,10.681818,27.97619,50,0,1,1874.13,1.27682
1,43,14.813953,37.093023,35,0,1,9364.41,39.3787
1,34,6.741176,89.117647,50,0,1,3736.71,3.20084
1,32.5,17.573846,37.615385,50,0,2,0,1.88772
0.8,35,10.228571,8.071429,50,0,1,0,0
0.8,35,10.228571,8.071429,50,0,1,2704.13,0.96729
1,41,15.731707,50.243902,43,0,1,5290.24,5
0.8,20,28.5,18.75,45,0,1,1007.06,1.59545
1.2,43.5,3.241379,106.074713,50,0,2,6231.88,81.4346
1,15,14.986667,4.841667,40,0,2,1101.18,5.19816
1,34,6.903614,86.445783,50,0,2,1485.06,5.71046
1,49.5,15.879032,63.165323,0,200,2,10529.3,85.8228
1,43.5,3.317241,105.408046,50,0,2,5992.01,64.9304
1.2,43.5,9.195402,51.270115,0,150,1,4986.6,3.43636
1.2,43.5,9.195402,51.270115,0,150,2,9008.04,16.9364
0.8,16.6,23.795181,19.879518,50,0,1,0,0
1,15,14.986667,4.841667,40,0,2,3864.71,7.00461
1,35.5,28.4,36.676056,50,0,1,3734.27,4.46875
1.2,43.5,3.241379,106.074713,50,0,1,1256.04,1.26582
1.2,57,10.015789,55.842105,50,0,1,17493.3,66.5
1,32,15.4375,56.265625,50,0,2,2745.36,2.9916
1.08,40,5.1375,16.75,0,27.5,1,747.706,1.02439
1.2,43.6,14.862385,41.559633,0,20,1,5764.04,4.44915
0.8,25,27.24,0,50,0,1,0,0
0.8,24,8.875,17.708333,0,50,1,0,0
1,18,27.444444,5.555556,50,0,2,3306.23,6.26316
1,34,13.5,110.544118,45,0,2,3000,7.61682
1.2,70,18.214286,14.142857,50,0,2,2970.3,11.1982
1,42,17.064286,54.380952,50,0,1,0,0
1.2,43.5,9.195402,51.270115,0,150,1,1983.91,1.14545
1,34,13.5,110.544118,45,0,1,2233.33,1.7757
1.08,40,5.1375,16.75,0,27.5,2,1000,3.26829
1.08,40,5.1875,11.875,0,31,2,290,0.623009
0.8,16.6,23.795181,19.879518,50,0,2,2000,21.6068
1.2,43.6,14.862385,41.559633,0,20,2,4348.31,44.2797
1.2,57,22.280702,43.026316,50,0,1,2431.76,1.88679
1.2,43.6,14.862385,41.559633,0,20,1,10146.1,11.6525
1,35.5,28.4,36.676056,50,0,1,0,0
0.8,24,9.975,55.28125,42,0,1,3191.93,5.57944
0.8,24,5.741935,23.870968,0,50,1,675,0.505417
1.2,57,10.015789,55.842105,50,0,2,12533.3,89
1,34,6.741176,89.117647,50,0,1,2232.91,1.43096
1,34,6.741176,89.117647,50,0,1,729.114,0.338912
1,32,15.4375,56.265625,50,0,2,0,1.31092
1.08,22,23.295455,74.25,50,0,2,4479.64,10.9043
1,46.5,12.365591,7.419355,50,0,2,0,65.7692
1,43.5,3.317241,105.408046,50,0,1,1491.34,2.92479
0.8,24,5.483871,20,0,40,2,675,1.91875
0.8,16.6,23.795181,19.879518,50,0,1,994.709,2.59829
1,33,20.878788,31.606061,50,0,1,0,0
0.8,28,40.607143,0,92,0,1,1689.95,0.793427
1,33,20.878788,31.606061,50,0,2,2187.85,9.10345
1,49.5,15.879032,63.165323,0,200,1,5996.62,13.6709
1,35.5,28.4,36.676056,50,0,2,5230.77,9.47768
1,32,15.4375,56.265625,50,0,1,549.072,0.302521
1,32,15.4375,56.265625,50,0,2,1098.14,1.71429
0.8,24,5.483871,20,0,40,1,675,0.610833
1.2,43.5,3.241379,106.074713,50,0,1,0,0
1.08,22,23.295455,74.25,50,0,1,3580.32,1.77391
0.8,25,27.24,0,50,0,2,2548.08,3.79412
1.08,16.6,34.036145,7.831325,50,0,1,904.523,1.78723
1.08,40,5.1375,16.75,0,27.5,1,2000,3.69106
1,41,15.731707,50.243902,43,0,2,0,5.70588
1,42,17.064286,54.380952,50,0,2,535.194,1.32719
1.2,43.5,3.241379,106.074713,50,0,2,2512.08,76.7932
1.08,40,5.1375,16.75,0,27.5,1,0,0
1,34,6.741176,89.117647,50,0,1,5240.51,6.13808
0.8,35,10.228571,8.071429,50,0,2,0,0.336449
1,33,20.878788,31.606061,50,0,1,2175.41,2.60099
1.08,22,23.295455,74.25,50,0,2,0,7.77391
1,15,14.986667,4.841667,40,0,2,540,4.09217
