Qt,Qt-1,St-1,St
12.4,11.8,5930,5630
7.93,12.4,5630,1960
5.66,7.93,1960,491
5.04,5.66,491,692
4.84,5.04,692,452
7.05,4.84,452,861
12.8,7.05,861,1550
9.17,12.8,1550,1060
7.05,9.17,1060,793
6.29,7.05,793,420
5.8,6.29,420,105
5.44,5.8,105,73
5.58,5.44,73,43
6.8,5.58,43,22
6.54,6.8,22,11
5.44,6.54,11,12
5.89,5.44,12,15
6.46,5.89,15,12
6.54,6.46,12,12
6.71,6.54,12,54
6.71,6.71,54,47
6.88,6.71,47,37
6.88,6.88,37,27
6.88,6.88,27,28
6.8,6.88,28,31
6.8,6.8,31,25
6.8,6.8,25,23
6.71,6.8,23,36
6.88,6.71,36,26
6.8,6.88,26,14
6.88,6.8,14,15
6.54,6.88,15,10
6.63,6.54,10,7.6
6.63,6.63,7.6,6.3
6.54,6.63,6.3,7.5
5.49,6.54,7.5,4.7
5.27,5.49,4.7,5
4.9,5.27,5,7.9
4.79,4.9,7.9,6.4
5.1,4.79,6.4,12
5.72,5.1,12,13
5.47,5.72,13,4.2
5.35,5.47,4.2,4.1
5.32,5.35,4.1,11
5.38,5.32,11,13
5.41,5.38,13,7.7
5.18,5.41,7.7,16
4.81,5.18,16,21
4.25,4.81,21,27
3.68,4.25,27,29
3.11,3.68,29,29
3.11,3.11,29,10
3.11,3.11,10,28
3.11,3.11,28,11
3.11,3.11,11,25
3.68,3.11,25,11
4.25,3.68,11,39
4.81,4.25,39,16
5.38,4.81,16,44
5.66,5.38,44,20
5.66,5.66,20,64
5.66,5.66,64,40
5.66,5.66,40,43
5.66,5.66,43,40
4.81,5.66,40,21
3.96,4.81,21,11
3.4,3.96,11,11
3.4,3.4,11,11
2.83,3.4,11,9.2
2.83,2.83,9.2,4.1
3.11,2.83,4.1,7.4
3.68,3.11,7.4,8.1
4.25,3.68,8.1,10
4.81,4.25,10,9.6
5.66,4.81,9.6,24
6.23,5.66,24,130
6.51,6.23,130,184
6.65,6.51,184,196
6.51,6.65,196,192
6.23,6.51,192,33
5.95,6.23,33,58
5.52,5.95,58,32
5.1,5.52,32,25
4.53,5.1,25,12
4.25,4.53,12,6.9
