R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,WQI
3.596,3.608,3.01,3.613,3.376,2.278,1.341,3.457,3.354,1.99,2.555,3.584,3.944,3.455,2.932,1.905,1.992,3.778,4.368,4.434,4.347,4.333,3.921,4.026,4.716,5.039,4.862,4.487,4.229,4.029,4.644,5.435,5.239,4.363,4.356,5.121,4.45,4.513,5.196,5.522,3.445,2.339,2.862,3.876,4.182,3.889,3.464,3.642,2.735,2.43,4.047,3.702,3.042,2.867,3.14,2.459,2.303,3.251,3.29,3.562,3.42,2.185,2.107,2.805,3.283,2.224,1.797,2.195,2.885,2.49,2.803,3.488,3.42,4.179,4.665,4.07,2.3,2.118,3.184,4.116,3.297,3.789,5.157,4.541,4.736,4.523,3.432,3.852,4.838,5.309,4.491,4.007,4.047,4.596,5.506,4.728,3.964,4.853,5.972,5.469,4.382,5.32,5.874,5.555,4.861,5.702,6.368,6.179,5.158,4.889,4.962,4.89,4.28,4.396,4.519,4.056,4.243,4.665,4.683,3.698,2.987,2.712,2.736,2.727,2.186,2.095,3.408,3.857,3.02,1.83,2.513,4.011,4.558,3.522,4.598,4.912,4.433,4.899,4.864,4.494,4.082,3.774,2.793,1.966,2.307,1.528,1.938,3.371,2.206,1.522,1.778,333
2.954,3.047,3.116,4.264,4.409,3.481,2.376,3.403,3.432,2.635,2.589,3.893,4.53,3.933,3.317,3.474,4.058,4.391,3.539,3.665,4.186,3.797,4.975,6.497,6.763,4.287,4.035,4.583,4.186,4.297,4.436,4.78,5.553,5.167,4.996,5.315,4.736,4.166,4.213,4.764,3.537,3.825,5.028,4.663,5.207,5.489,4.879,4.136,2.924,2.329,3.262,4.795,4.323,2.897,3.876,3.212,3.052,4.238,3.251,2.729,3.09,3.802,3.754,3.284,3.046,3.782,2.501,1.683,3.111,3.946,3.417,2.736,3.776,4.6,5.205,5.223,3.492,3.714,4.75,4.545,2.907,3.363,5.167,4.587,4.26,4.021,3.627,3.508,3.892,4.449,4.573,3.507,3.482,4.838,5.531,5.253,4.933,5.278,5.126,4.73,4.691,5.688,6.933,6.739,5.209,6.102,5.679,4.834,5.47,5.508,5.379,5.456,5.877,5.606,4.982,4.509,3.99,4.678,5.479,4.185,3.472,3.381,3.639,4.134,4.03,3.756,4.003,4.058,3.212,2.084,2.702,3.782,4.315,4.058,5.079,5.718,5.945,6.598,4.884,3.519,3.985,3.691,3.026,2.353,2.04,1.74,2.625,4.026,2.901,1.745,1.871,222
2.487,2.943,2.529,3.728,2.987,1.889,1.996,2.102,1.618,1.272,2.154,3.663,4.047,3.16,2.614,2.258,2.943,4.473,3.544,2.975,3.13,3.304,3.276,3.672,4.314,4.097,3.357,2.962,3.424,4.075,4.329,4.78,6.057,4.535,3.555,4.076,3.388,3.325,3.918,4.524,3.74,2.961,2.896,3.61,3.586,3.347,3.289,3.296,1.764,1.103,3.08,2.358,2.161,3.462,5.139,3.463,1.951,2.678,2.772,2.985,3.085,2.741,2.566,2.503,2.664,3.271,2.16,1.522,2.868,3.708,3.435,2.878,3.401,3.802,4.271,4.333,2.385,2.73,3.872,3.44,2.114,3.091,5.367,5.049,5.177,4.335,2.373,3.281,4.139,4.258,3.878,3.528,3.397,3.646,4.411,4.416,4.238,4.559,4.981,4.029,3.175,5.218,5.355,4.551,4.304,5.774,5.675,4.539,4.13,4.391,4.596,4.783,5.8,4.653,3.22,3.418,3.695,3.856,3.538,2.477,2.14,1.763,1.33,3.02,2.848,2.089,3.18,3.494,2.979,2.005,1.251,3.077,4.521,3.382,4.341,5.017,4.55,3.341,3.737,4.302,3.732,1.972,1.276,1.599,1.861,1.029,1.869,3.905,2.32,1.331,1.218,212
1.364,1.4186,1.3789,1.4776,1.5063,1.4047,1.2648,1.5166,1.5443,1.3834,1.348,1.5462,1.6159,1.493,1.4612,1.4296,1.4831,1.6298,1.6076,1.576,1.6236,1.7724,1.8247,1.9095,2.0399,2.0772,2.0113,1.9715,2.028,1.9998,2.0169,2.0669,2.0682,1.9622,1.8951,1.8726,1.7082,1.7105,1.7503,1.6714,1.5735,1.5148,1.525,1.6043,1.7046,1.7621,1.7548,1.7253,1.5595,1.4434,1.5425,1.6226,1.6102,1.5382,1.5069,1.413,1.3415,1.3333,1.2924,1.2733,1.2274,1.111,1.0797,1.1166,1.1745,1.1889,1.1805,1.2322,1.3721,1.4696,1.424,1.3343,1.3842,1.5226,1.6677,1.7322,1.6263,1.5915,1.6323,1.665,1.5353,1.5739,1.7364,1.71,1.6788,1.6375,1.5801,1.5461,1.6406,1.7188,1.604,1.5643,1.6464,1.7777,1.7734,1.8693,1.9545,1.9279,2.0059,1.9638,1.8922,2.0462,2.128,2.1314,2.1062,2.1277,2.1824,2.1671,2.0085,1.9672,2.0069,2.0336,1.9184,1.8107,1.7732,1.8006,1.756,1.6615,1.535,1.3988,1.3018,1.2792,1.3232,1.3586,1.3551,1.3616,1.4336,1.4845,1.4386,1.3254,1.2892,1.4652,1.7141,1.9025,2.182,2.3169,2.3566,2.4979,2.2595,1.8379,1.4837,1.3665,1.2223,1.0919,1.0995,1.0856,1.1728,1.315,1.2341,1.0753,0.9929,116
1.3074,1.382,1.3476,1.3986,1.3403,1.3004,1.3719,1.3984,1.3865,1.3964,1.4864,1.5416,1.4909,1.4186,1.5479,1.4818,1.4152,1.5155,1.5707,1.6054,1.6433,1.7103,1.8013,1.9124,2.0005,1.9861,1.9764,1.9822,1.9784,1.8926,1.8767,1.9206,1.9387,1.9482,1.9302,1.8513,1.6654,1.6244,1.6665,1.6819,1.6836,1.6381,1.5949,1.6316,1.624,1.6299,1.6583,1.6171,1.5129,1.4779,1.5849,1.55,1.4152,1.3367,1.4973,1.4028,1.238,1.1978,1.3082,1.3346,1.2668,1.1845,1.1276,1.1613,1.2392,1.2114,1.1326,1.1438,1.299,1.3928,1.3956,1.3987,1.5186,1.5186,1.5588,1.6433,1.5063,1.5599,1.6441,1.5489,1.4944,1.5571,1.6728,1.6755,1.5308,1.4548,1.5357,1.5036,1.5419,1.6404,1.7106,1.6635,1.6306,1.675,1.7612,1.829,1.8929,1.9571,1.9271,1.8197,1.7741,1.963,2.055,2.0353,1.9835,2.0742,2.1411,2.0983,1.9479,1.9884,2.0169,1.9802,2.0155,2.0032,1.8709,1.6619,1.751,1.7593,1.5941,1.3694,1.2983,1.2879,1.2924,1.4635,1.4523,1.3528,1.3834,1.4687,1.4277,1.2691,1.2193,1.3972,1.6829,1.9462,2.2856,2.3922,2.338,2.4077,2.1196,1.7422,1.5041,1.3373,1.1691,1.0689,1.123,1.1384,1.181,1.235,1.1589,1.1013,1.0892,111
1.258,1.052,1.025,2.9,2.075,0.522,0.434,1.001,0.904,0.569,1.052,2.009,2.058,1.278,1.301,1.036,1.181,1.954,1.397,1.406,1.844,1.845,1.937,2.281,2.777,3.056,2.219,1.085,0.608,1.059,1.681,2.114,2.276,2.449,2.758,2.808,1.629,1.634,1.665,0.69,0.927,1.244,1.565,2.31,2.772,2.782,2.231,0.966,0.306,0.571,1.503,2.278,1.703,0.775,1.749,1.249,0.104,0.459,0.38,1.271,1.515,1.027,1.507,1.309,0.558,1.147,0.152,0.225,1.465,2.024,2.462,2.294,0.828,0.809,1.84,2.87,2.433,1.698,0.921,0.256,0.368,0.895,1.43,1.624,2.18,2.176,1.291,0.867,1.548,2.222,1.488,0.911,1.627,2.716,1.045,1.358,1.958,0.885,0.524,0.286,0.255,2.792,3.179,2.477,2.459,3.501,2.797,1.472,1.588,1.547,2.318,3.124,1.307,0.889,1.532,2.123,2.556,2.728,2.005,0.116,0.412,1.486,1.455,1.038,0.999,1.332,1.589,0.911,0.2,0.841,0.157,0.616,0.059,0.857,0.805,1.982,1.86,1.295,1.345,1.947,2.482,1.553,0.218,0.48,0.062,0.492,0.166,1.263,1.467,1.91,1.841,108
3.255,3.122,2.946,3.602,3.71,3.136,2.41,3.109,3.317,3.047,3.16,4.222,4.213,3.121,3.17,2.967,3.589,5.246,4.717,4.324,4.414,4.552,5.081,5.287,4.816,3.838,4.038,4.42,4.109,4.285,4.211,4.27,4.988,3.906,3.726,4.797,4.078,3.909,4.197,4.254,3.265,2.965,3.691,4.729,4.337,3.826,3.92,3.934,3.569,3.201,3.271,3.673,3.429,3.049,3.89,3.357,2.056,1.386,3.512,4.79,4.386,2.886,2.098,1.772,1.944,2.918,1.539,0.828,2.902,4.375,4.117,3.543,4.775,3.852,3.412,4.059,2.707,2.785,3.942,4.715,3.531,3.441,4.547,4.736,4.721,4.407,3.964,4.399,4.51,4.295,4.076,3.005,2.583,3.096,3.264,3.756,4.172,4.312,5.555,5.404,4.818,6.488,5.993,4.604,4.136,6.198,6.537,5.225,4.15,5.42,5.848,4.972,5.542,5.064,4.445,4.67,4.502,5.105,5.157,2.426,2.143,2.734,2.937,3.972,3.722,3.092,3.614,3.703,2.874,1.94,3.006,3.896,3.642,2.629,4.779,5.782,5.121,4.828,4.318,3.972,3.817,2.889,2.126,1.778,1.81,2.179,3.194,4.085,2.732,2.335,2.772,269
1.866,2.472,3.263,2.89,3.53,3.871,3.054,3.273,3.132,2.905,3.367,3.932,3.936,3.314,2.667,2.956,4.02,5.058,4.289,3.635,3.31,3.029,4.438,5.477,5.353,5,4.495,4.358,4.614,3.725,3.134,3.543,4.928,5.199,4.82,4.315,3.964,3.851,4.174,4.66,3.396,3.389,4.121,3.407,3.912,3.932,3.145,4.021,3.994,3.582,3.727,3.436,2.733,2.657,4.53,3.972,2.818,2.768,3.494,3.521,3.176,3.15,2.054,1.651,2.277,2.691,2.108,1.884,2.761,2.546,3.307,3.93,2.452,2.986,4.109,4.378,3.063,3.409,4.56,4.664,2.569,3.138,5.539,4.901,4.098,3.57,3.426,3.929,3.863,3.999,5.14,3.041,2.266,3.964,4.696,5.331,5.315,4.547,5.4,4.368,3.148,5.974,5.932,4.908,4.868,5.767,5.79,4.844,3.911,5.983,5.94,3.674,4.826,4.882,4.036,3.418,3.699,4.405,4.248,1.997,2.296,3.321,3.441,2.994,2.93,3.382,3.96,3.458,2.945,2.929,3.126,3.65,4.306,4.748,4.299,4.034,4.483,5.589,5.344,5.107,5.317,3.305,1.961,1.841,2.361,2.039,2.453,3.711,3.821,2.416,1.594,171
3.121,3.075,2.17,2.817,3.627,3.337,1.977,2.917,2.732,1.712,1.659,3.103,3.271,2.002,2.054,1.808,2.198,3.483,3.023,1.903,1.482,2.776,3.743,4.318,4.415,3.792,2.942,2.452,2.562,2.584,2.953,3.884,5.17,4.62,3.759,3.598,4.045,3.731,3.088,2.848,3.251,2.939,2.31,2.649,3.247,3.714,3.537,1.932,1.649,2.043,1.902,2.031,2.308,2.684,3.069,2.188,1.003,0.448,0.701,2.206,3.312,2.361,1.645,1.853,2.496,2.052,0.679,0.669,2.906,3.73,2.424,1.308,3.375,3.556,3.304,3.201,1.7,1.988,2.663,1.839,0.802,1.028,2.344,3.322,3.977,3.336,1.803,2.974,4.346,4.445,2.756,2.017,2.294,3.013,3.13,3.02,3.652,5.099,4.131,2.407,1.769,3.703,5.072,4.894,3.71,4.309,4.714,4.328,3.371,3.849,3.752,2.865,3.115,3.122,3.361,4.201,4.503,4.247,2.971,0.43,1.039,2.241,2.302,2.91,2.427,1.766,2.379,3.422,2.863,1.029,0.897,1.878,2.905,3.225,3.704,4.122,4.405,4.54,4.11,3.719,3.513,2.276,1.76,1.566,0.666,0.423,0.866,3.508,1.905,0.875,0.737,250
2.786,2.496,1.506,0.909,1.843,2.603,2.19,3.071,3.526,3.12,2.244,2.541,3.027,3.18,3.18,2.48,2.464,3.614,3.134,2.868,2.63,1.904,3.8,5.286,5.087,4.43,4.15,3.975,3.57,3.173,3.246,3.564,3.624,3.612,4.263,4.817,2.709,2.649,3.563,3.634,3.405,3.299,3.372,3.4,2.767,3.061,4.473,4.84,2.999,1.521,2.625,2.734,2.34,2.335,3.571,3.261,2.336,1.859,2.037,2.514,2.898,2.912,2.984,2.741,2.2,1.795,1.612,1.892,2.674,3.61,3.515,3.112,3.793,3.907,4.278,4.569,2.504,2.124,2.788,2.909,2.603,3.476,4.525,3.155,3.285,2.821,1.193,3.235,4.495,4.799,5.259,4.196,3.216,3.287,4.342,4.458,4.238,4.656,6.061,4.508,2.14,4.306,5.212,4.845,4.213,4.735,5.553,5.822,5.009,4.216,4.334,5.02,4.671,4.198,3.739,3.422,3.834,4.821,4.779,1.85,1.089,1.788,2.74,3.441,3.083,2.636,3.275,3.253,2.158,0.992,2.15,3.625,4.475,4.39,4.118,4.32,4.89,5.177,4.938,4.273,3.438,2.931,1.721,0.938,1.961,1.998,2.582,3.89,4.045,2.865,1.677,220
